template_image,source_image,template_keypoints,source_keypoints,matched_keypoints,match_ratio_vs_template,match_ratio_vs_source,mean_confidence,max_confidence,homography_found,homography_inliers,homography_inlier_ratio,mean_reprojection_error
04_pro3_endpoint_outer_mask.png,05_3_FS (49)_placed_outer_mask.png,141,146,69,0.48936170212765956,0.4726027397260274,0.2724904417991638,0.4635041356086731,1,20,0.2898550724637681,1.4759926795959473
04_pro3_endpoint_outer_mask.png,05_3_FS (51)_placed_outer_mask.png,141,128,8,0.05673758865248227,0.0625,0.23431789875030518,0.2723902463912964,1,6,0.75,0.8805112838745117
04_pro3_endpoint_outer_mask.png,05_3_FS (52)_placed_outer_mask.png,141,127,102,0.723404255319149,0.8031496062992126,0.3657744824886322,0.7386889457702637,1,30,0.29411764705882354,1.5477842092514038
04_pro3_endpoint_outer_mask.png,05_3_FS (54)_placed_outer_mask.png,141,125,0,0.0,0.0,0.0,0.0,0,0,0.0,nan
04_pro3_endpoint_outer_mask.png,05_3_FS (55)_placed_outer_mask.png,141,133,0,0.0,0.0,0.0,0.0,0,0,0.0,nan
04_pro3_endpoint_outer_mask.png,05_3_FS (56)_placed_outer_mask.png,141,132,48,0.3404255319148936,0.36363636363636365,0.29793474078178406,0.5502486824989319,1,16,0.3333333333333333,1.4117677211761475
04_pro3_endpoint_outer_mask.png,05_3_FS (57)_placed_outer_mask.png,141,124,13,0.09219858156028368,0.10483870967741936,0.2372647076845169,0.2837957441806793,1,9,0.6923076923076923,0.8931624293327332
04_pro3_endpoint_outer_mask.png,05_3_FS (58)_placed_outer_mask.png,141,161,0,0.0,0.0,0.0,0.0,0,0,0.0,nan
04_pro3_endpoint_outer_mask.png,05_3_FS (60)_placed_outer_mask.png,141,120,0,0.0,0.0,0.0,0.0,0,0,0.0,nan
04_pro3_endpoint_outer_mask.png,05_3_FS (62)_placed_outer_mask.png,141,128,0,0.0,0.0,0.0,0.0,0,0,0.0,nan
