epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.1599934952599662,0.2619047619047619,1.1254015984358612,0.37037037037037035,0.24483043837882548
2,1.0772839046659923,0.42857142857142855,1.060937757845278,0.5185185185185185,0.4152298850574712
3,1.0204626321792603,0.5079365079365079,1.0027785698572795,0.6296296296296297,0.5934343434343434
4,0.9649259154758756,0.6428571428571429,0.9353807833459642,0.7777777777777778,0.7688536953242835
5,0.8850641222227187,0.8174603174603174,0.8812655983147798,0.7777777777777778,0.7688536953242835
6,0.8452343382532634,0.873015873015873,0.8106236391597323,0.9629629629629629,0.9628482972136223
7,0.8052685175623212,0.8888888888888888,0.7541735194347523,1.0,1.0
8,0.7589898251351856,0.9444444444444444,0.7001920541127523,1.0,1.0
9,0.6920089475692265,0.9841269841269841,0.6629112627771165,1.0,1.0
10,0.6480916852042788,0.9920634920634921,0.6338241276917634,1.0,1.0
11,0.6002930819042145,0.9761904761904762,0.601143995920817,1.0,1.0
12,0.6504649122556051,0.9841269841269841,0.5735969146092733,1.0,1.0
13,0.5621579005604699,0.9920634920634921,0.5434028572506375,1.0,1.0
14,0.5539289873743815,0.9920634920634921,0.5162225763003031,1.0,1.0
15,0.5127285141793508,0.9841269841269841,0.4876241198292485,1.0,1.0
16,0.4812355377371349,0.9920634920634921,0.4640517433484395,1.0,1.0
17,0.4414364539441608,1.0,0.4412311845355564,1.0,1.0
18,0.48491194040056257,0.9841269841269841,0.4185620767098886,1.0,1.0
19,0.4373636704588693,0.9920634920634921,0.3990431913623103,1.0,1.0
20,0.41439646908215116,1.0,0.37937159560344835,1.0,1.0
21,0.4219152326621706,0.9841269841269841,0.3658900669327489,1.0,1.0
22,0.37254893637838815,1.0,0.3532866493419365,1.0,1.0
23,0.3565493297009241,1.0,0.3386160532633464,1.0,1.0
24,0.3531232509348128,0.9841269841269841,0.3308960254545565,1.0,1.0
25,0.3417471931094215,1.0,0.3112200653111493,1.0,1.0
26,0.31976762413978577,1.0,0.29989080407001356,1.0,1.0
27,0.2946188875607082,1.0,0.2900287784911968,1.0,1.0
28,0.27628078394465977,1.0,0.27886825027289214,1.0,1.0
29,0.26988199826270814,1.0,0.2702139031004023,1.0,1.0
30,0.3172149033773513,0.9920634920634921,0.25441453964621935,1.0,1.0
31,0.2783140575601941,1.0,0.2507278146567168,1.0,1.0
32,0.2642786703885548,0.9920634920634921,0.23847280663472634,1.0,1.0
33,0.2501775811588953,1.0,0.23057606209207465,1.0,1.0
34,0.24443682271336753,1.0,0.22346108048050492,1.0,1.0
35,0.22801687603905088,1.0,0.21330176569797374,1.0,1.0
36,0.2149644706930433,1.0,0.20922765246144048,1.0,1.0
37,0.22644152196626816,1.0,0.20256978218202237,1.0,1.0
38,0.2510828378181609,1.0,0.19764985861601653,1.0,1.0
39,0.1875307195716434,1.0,0.19209536854867582,1.0,1.0
40,0.21633239729063852,1.0,0.1868954477486787,1.0,1.0
41,0.2106130506311144,1.0,0.18577564811265027,1.0,1.0
42,0.2015207431146077,1.0,0.17443670442810766,1.0,1.0
43,0.18712452243244837,1.0,0.16928098599116007,1.0,1.0
44,0.2142758367080537,1.0,0.16405614879396227,1.0,1.0
45,0.16940145028962028,1.0,0.16057873820817029,1.0,1.0
46,0.20918631388081443,1.0,0.15602687608312676,1.0,1.0
47,0.1666284745174741,1.0,0.14973904192447662,1.0,1.0
48,0.17428645278726304,1.0,0.1447715483329914,1.0,1.0
49,0.15615583731541557,1.0,0.14369117937706136,1.0,1.0
50,0.14669606207855165,1.0,0.13816122434757375,1.0,1.0
