epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.0709254949811906,0.5158730158730159,0.986384599297135,0.8888888888888888,0.8857142857142857
2,1.025822983847724,0.7063492063492064,0.9833139578501383,0.6296296296296297,0.5934343434343434
3,0.977411581410302,0.8492063492063492,0.9441750071666859,0.8518518518518519,0.8395989974937343
4,0.9378664417872353,0.9841269841269841,0.9201411737336053,0.9259259259259259,0.9232456140350876
5,0.89135004509063,0.9761904761904762,0.8902924458185831,0.8888888888888888,0.8824561403508772
6,0.8450316294791207,0.9920634920634921,0.8602260307029441,0.8888888888888888,0.8824561403508772
7,0.8126355750220162,1.0,0.8252151740921868,0.9629629629629629,0.9628482972136223
8,0.792731383490184,1.0,0.7763030043354741,1.0,1.0
9,0.7492660350269742,0.9920634920634921,0.737168777872015,1.0,1.0
10,0.7124311763142782,1.0,0.6966188240934301,1.0,1.0
11,0.7004377122909303,1.0,0.6856462491883172,1.0,1.0
12,0.6388417643214029,1.0,0.6486056866469206,1.0,1.0
13,0.6819815474843222,1.0,0.6329086643678171,1.0,1.0
14,0.6007343719876002,1.0,0.5907539901910005,1.0,1.0
15,0.5881928025730072,1.0,0.5699717137548659,1.0,1.0
16,0.5652864196943859,1.0,0.5452774983865244,1.0,1.0
17,0.515619522995419,1.0,0.5205671919716729,1.0,1.0
18,0.5329510077597603,1.0,0.5154114696714613,1.0,1.0
19,0.5175811932200477,1.0,0.49346225349991407,1.0,1.0
20,0.48466090645108906,1.0,0.471728452929744,1.0,1.0
21,0.4731753302945031,1.0,0.4599281935780137,1.0,1.0
22,0.4463351633813646,1.0,0.4377813858014566,1.0,1.0
23,0.45509843504618086,1.0,0.4274030427138011,1.0,1.0
24,0.4381176285327427,1.0,0.4171883320366895,1.0,1.0
25,0.4595595252892328,0.9920634920634921,0.40458521578047013,1.0,1.0
26,0.3857486621728019,1.0,0.3804687570642542,1.0,1.0
27,0.3577329369764479,1.0,0.362331748008728,1.0,1.0
28,0.3614990749056377,1.0,0.35965434379047817,1.0,1.0
29,0.35462310673698544,1.0,0.35065749618742204,1.0,1.0
30,0.31767254878604223,1.0,0.3320796898117772,1.0,1.0
31,0.34960722639447167,1.0,0.33156706668712477,1.0,1.0
32,0.3753039614548759,1.0,0.3236063807098954,1.0,1.0
33,0.34347788445533267,1.0,0.32188082624364783,1.0,1.0
34,0.3111795565438649,1.0,0.3129207756784227,1.0,1.0
35,0.30050502835758147,1.0,0.298199110560947,1.0,1.0
36,0.31354760224857026,1.0,0.2857207589679294,1.0,1.0
37,0.2930942731244223,1.0,0.2762836659396136,1.0,1.0
38,0.2671181725131141,1.0,0.2633872352264546,1.0,1.0
39,0.2732409482437467,1.0,0.26319369121834085,1.0,1.0
40,0.27723179071668597,1.0,0.2544937464925978,1.0,1.0
41,0.2713496945207081,1.0,0.2506112136222698,1.0,1.0
42,0.26183128640765235,1.0,0.23954441591545386,1.0,1.0
43,0.2450351667782617,0.9920634920634921,0.2347848735473774,1.0,1.0
44,0.262170189902896,1.0,0.2299897598999518,1.0,1.0
45,0.23013829380746872,1.0,0.2262928745260945,1.0,1.0
46,0.2540588870881096,1.0,0.22288493701705225,1.0,1.0
47,0.216703551629233,1.0,0.2121906258441784,1.0,1.0
48,0.20448206270497943,1.0,0.20277170616167564,1.0,1.0
49,0.22046008706092834,1.0,0.1916177648085135,1.0,1.0
50,0.2028824977931522,0.9920634920634921,0.18754630618625218,1.0,1.0
