model,evaluation,input_size,support,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
ResNet-18,Original Test,224 x 224,27,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142857,0.9166666666666666,0.8888888888888888,0.8857142857142856
ResNet-18,Original RR,224 x 224,180,0.8555555555555555,0.864957264957265,0.8555555555555555,0.8525128205128206,0.8649572649572649,0.8555555555555555,0.8525128205128204
ResNet-18,HoleAlign Test,224 x 224,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResNet-18,RR + HoleAlign,224 x 224,180,0.9833333333333333,0.9834213207372419,0.9833333333333334,0.9833321758455448,0.9834213207372418,0.9833333333333333,0.9833321758455449
ResNet-50,Original Test,224 x 224,27,0.9629629629629629,0.9666666666666667,0.9629629629629629,0.9628482972136223,0.9666666666666667,0.9629629629629629,0.9628482972136223
ResNet-50,Original RR,224 x 224,180,0.9777777777777777,0.9786625032526671,0.9777777777777779,0.9776208448889846,0.9786625032526672,0.9777777777777777,0.9776208448889847
ResNet-50,HoleAlign Test,224 x 224,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResNet-50,RR + HoleAlign,224 x 224,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DenseNet-121,Original Test,224 x 224,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DenseNet-121,Original RR,224 x 224,180,0.8944444444444445,0.8983175554604127,0.8944444444444445,0.8923085287121983,0.8983175554604126,0.8944444444444445,0.8923085287121985
DenseNet-121,HoleAlign Test,224 x 224,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DenseNet-121,RR + HoleAlign,224 x 224,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DenseNet-201,Original Test,224 x 224,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DenseNet-201,Original RR,224 x 224,180,0.8277777777777777,0.8607338630204483,0.8277777777777778,0.8138022984930519,0.8607338630204484,0.8277777777777777,0.8138022984930516
DenseNet-201,HoleAlign Test,224 x 224,27,0.9629629629629629,0.9666666666666667,0.9629629629629629,0.9628482972136223,0.9666666666666667,0.9629629629629629,0.9628482972136223
DenseNet-201,RR + HoleAlign,224 x 224,180,0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151817,0.994535519125683,0.9944444444444445,0.9944440586151817
EfficientNet-B0,Original Test,224 x 224,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EfficientNet-B0,Original RR,224 x 224,180,0.9444444444444444,0.9523809523809524,0.9444444444444445,0.9440559440559442,0.9523809523809523,0.9444444444444444,0.944055944055944
EfficientNet-B0,HoleAlign Test,224 x 224,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EfficientNet-B0,RR + HoleAlign,224 x 224,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MobileNet-V2,Original Test,224 x 224,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MobileNet-V2,Original RR,224 x 224,180,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,0.9841269841269841,0.9833333333333333,0.9833229101521783
MobileNet-V2,HoleAlign Test,224 x 224,27,0.9629629629629629,0.9666666666666667,0.9629629629629629,0.9628482972136222,0.9666666666666667,0.9629629629629629,0.9628482972136223
MobileNet-V2,RR + HoleAlign,224 x 224,180,0.9722222222222222,0.9733742959549412,0.9722222222222222,0.9719126842016816,0.9733742959549411,0.9722222222222222,0.9719126842016816
Inception-V3,Original Test,299 x 299,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Inception-V3,Original RR,299 x 299,180,0.5388888888888889,0.7591914258580926,0.5388888888888889,0.5011599223219441,0.7591914258580925,0.5388888888888889,0.5011599223219441
Inception-V3,HoleAlign Test,299 x 299,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Inception-V3,RR + HoleAlign,299 x 299,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0
