n,accuracy,macro_precision,macro_recall,macro_f1,model,slug,scenario,input_size,main,fold
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,ResNet-18,resnet18,Original Test,224 x 224,True,fold_1
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,ResNet-18,resnet18,Original Test,224 x 224,True,fold_2
36,1.0,1.0,1.0,1.0,ResNet-18,resnet18,Original Test,224 x 224,True,fold_3
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,ResNet-18,resnet18,Original Test,224 x 224,True,fold_4
36,0.9444444444444444,0.9487179487179488,0.9444444444444445,0.943030303030303,ResNet-18,resnet18,Original Test,224 x 224,True,fold_5
36,0.9444444444444444,0.9465811965811967,0.9444444444444443,0.9443961352657005,ResNet-18,resnet18,HoleAlign Test,224 x 224,True,fold_1
36,0.9444444444444444,0.9465811965811964,0.9444444444444443,0.9443961352657005,ResNet-18,resnet18,HoleAlign Test,224 x 224,True,fold_2
36,1.0,1.0,1.0,1.0,ResNet-18,resnet18,HoleAlign Test,224 x 224,True,fold_3
36,1.0,1.0,1.0,1.0,ResNet-18,resnet18,HoleAlign Test,224 x 224,True,fold_4
36,1.0,1.0,1.0,1.0,ResNet-18,resnet18,HoleAlign Test,224 x 224,True,fold_5
180,0.8944444444444445,0.8983573839983755,0.8944444444444445,0.8922591209096792,ResNet-18,resnet18,Original RR,224 x 224,True,fold_1
180,0.9,0.9029510794216676,0.9,0.8986896303969475,ResNet-18,resnet18,Original RR,224 x 224,True,fold_2
180,0.8944444444444445,0.9076716060322618,0.8944444444444444,0.8919221288285061,ResNet-18,resnet18,Original RR,224 x 224,True,fold_3
180,0.8833333333333333,0.8914975346863891,0.8833333333333333,0.882903882903883,ResNet-18,resnet18,Original RR,224 x 224,True,fold_4
180,0.8611111111111112,0.8674399674399673,0.861111111111111,0.8566251526251527,ResNet-18,resnet18,Original RR,224 x 224,True,fold_5
180,0.9722222222222222,0.9729880256196045,0.9722222222222222,0.9722048502536307,ResNet-18,resnet18,RR + HoleAlign,224 x 224,True,fold_1
180,0.9611111111111111,0.9621693121693121,0.9611111111111109,0.9612361892849698,ResNet-18,resnet18,RR + HoleAlign,224 x 224,True,fold_2
180,0.9777777777777777,0.978123841305154,0.9777777777777777,0.9777716032231175,ResNet-18,resnet18,RR + HoleAlign,224 x 224,True,fold_3
180,0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151817,ResNet-18,resnet18,RR + HoleAlign,224 x 224,True,fold_4
180,1.0,1.0,1.0,1.0,ResNet-18,resnet18,RR + HoleAlign,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,ResNet-50,resnet50,Original Test,224 x 224,True,fold_1
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,ResNet-50,resnet50,Original Test,224 x 224,True,fold_2
36,1.0,1.0,1.0,1.0,ResNet-50,resnet50,Original Test,224 x 224,True,fold_3
36,1.0,1.0,1.0,1.0,ResNet-50,resnet50,Original Test,224 x 224,True,fold_4
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,ResNet-50,resnet50,Original Test,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,ResNet-50,resnet50,HoleAlign Test,224 x 224,True,fold_1
36,0.8611111111111112,0.9019607843137255,0.8611111111111112,0.864606657710106,ResNet-50,resnet50,HoleAlign Test,224 x 224,True,fold_2
36,1.0,1.0,1.0,1.0,ResNet-50,resnet50,HoleAlign Test,224 x 224,True,fold_3
36,1.0,1.0,1.0,1.0,ResNet-50,resnet50,HoleAlign Test,224 x 224,True,fold_4
36,1.0,1.0,1.0,1.0,ResNet-50,resnet50,HoleAlign Test,224 x 224,True,fold_5
180,0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151817,ResNet-50,resnet50,Original RR,224 x 224,True,fold_1
180,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,ResNet-50,resnet50,Original RR,224 x 224,True,fold_2
180,0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151817,ResNet-50,resnet50,Original RR,224 x 224,True,fold_3
180,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,ResNet-50,resnet50,Original RR,224 x 224,True,fold_4
180,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,ResNet-50,resnet50,Original RR,224 x 224,True,fold_5
180,1.0,1.0,1.0,1.0,ResNet-50,resnet50,RR + HoleAlign,224 x 224,True,fold_1
180,0.9388888888888889,0.9458428680396643,0.9388888888888888,0.9397873534960438,ResNet-50,resnet50,RR + HoleAlign,224 x 224,True,fold_2
180,1.0,1.0,1.0,1.0,ResNet-50,resnet50,RR + HoleAlign,224 x 224,True,fold_3
180,0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151817,ResNet-50,resnet50,RR + HoleAlign,224 x 224,True,fold_4
180,0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151817,ResNet-50,resnet50,RR + HoleAlign,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,DenseNet-121,densenet121,Original Test,224 x 224,True,fold_1
36,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8857142857142858,DenseNet-121,densenet121,Original Test,224 x 224,True,fold_2
36,1.0,1.0,1.0,1.0,DenseNet-121,densenet121,Original Test,224 x 224,True,fold_3
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,DenseNet-121,densenet121,Original Test,224 x 224,True,fold_4
36,1.0,1.0,1.0,1.0,DenseNet-121,densenet121,Original Test,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,DenseNet-121,densenet121,HoleAlign Test,224 x 224,True,fold_1
36,1.0,1.0,1.0,1.0,DenseNet-121,densenet121,HoleAlign Test,224 x 224,True,fold_2
36,0.9444444444444444,0.9465811965811964,0.9444444444444443,0.9443961352657005,DenseNet-121,densenet121,HoleAlign Test,224 x 224,True,fold_3
36,0.9444444444444444,0.9523809523809524,0.9444444444444445,0.9440559440559441,DenseNet-121,densenet121,HoleAlign Test,224 x 224,True,fold_4
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,DenseNet-121,densenet121,HoleAlign Test,224 x 224,True,fold_5
180,0.7833333333333333,0.7836274282176302,0.7833333333333333,0.7780234900977935,DenseNet-121,densenet121,Original RR,224 x 224,True,fold_1
180,0.7611111111111111,0.7775655716832187,0.7611111111111111,0.7483152452298629,DenseNet-121,densenet121,Original RR,224 x 224,True,fold_2
180,0.8444444444444444,0.8636447755368474,0.8444444444444444,0.8420904302199266,DenseNet-121,densenet121,Original RR,224 x 224,True,fold_3
180,0.8888888888888888,0.893211825487945,0.888888888888889,0.8861557305336834,DenseNet-121,densenet121,Original RR,224 x 224,True,fold_4
180,0.8222222222222222,0.8379385964912281,0.8222222222222223,0.8154522454142947,DenseNet-121,densenet121,Original RR,224 x 224,True,fold_5
180,1.0,1.0,1.0,1.0,DenseNet-121,densenet121,RR + HoleAlign,224 x 224,True,fold_1
180,1.0,1.0,1.0,1.0,DenseNet-121,densenet121,RR + HoleAlign,224 x 224,True,fold_2
180,0.9611111111111111,0.9616920084482913,0.9611111111111111,0.9610973506117343,DenseNet-121,densenet121,RR + HoleAlign,224 x 224,True,fold_3
180,0.9666666666666667,0.9676724137931035,0.9666666666666667,0.9666484417714599,DenseNet-121,densenet121,RR + HoleAlign,224 x 224,True,fold_4
180,0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151817,DenseNet-121,densenet121,RR + HoleAlign,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,Original Test,224 x 224,True,fold_1
36,0.9166666666666666,0.9184149184149185,0.9166666666666666,0.9165217391304347,DenseNet-201,densenet201,Original Test,224 x 224,True,fold_2
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,DenseNet-201,densenet201,Original Test,224 x 224,True,fold_3
36,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,Original Test,224 x 224,True,fold_4
36,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,Original Test,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,HoleAlign Test,224 x 224,True,fold_1
36,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,HoleAlign Test,224 x 224,True,fold_2
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,DenseNet-201,densenet201,HoleAlign Test,224 x 224,True,fold_3
36,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,HoleAlign Test,224 x 224,True,fold_4
