Model,Input size,Evaluation set,n/fold,Accuracy,Macro Precision,Macro Recall,Macro F1
ResNet-18,224 x 224,Original RR,180,88.67 +/- 1.55,89.36 +/- 1.58,88.67 +/- 1.55,88.45 +/- 1.66
ResNet-18,224 x 224,RR + HoleAlign,180,98.11 +/- 1.60,98.16 +/- 1.56,98.11 +/- 1.60,98.11 +/- 1.60
ResNet-50,224 x 224,Original RR,180,98.67 +/- 0.93,98.73 +/- 0.84,98.67 +/- 0.93,98.67 +/- 0.93
ResNet-50,224 x 224,RR + HoleAlign,180,98.56 +/- 2.62,98.70 +/- 2.32,98.56 +/- 2.62,98.57 +/- 2.58
DenseNet-121,224 x 224,Original RR,180,82.00 +/- 5.04,83.12 +/- 5.02,82.00 +/- 5.04,81.40 +/- 5.39
DenseNet-121,224 x 224,RR + HoleAlign,180,98.44 +/- 1.90,98.48 +/- 1.86,98.44 +/- 1.90,98.44 +/- 1.90
DenseNet-201,224 x 224,Original RR,180,84.89 +/- 2.65,87.69 +/- 1.26,84.89 +/- 2.65,84.21 +/- 2.81
DenseNet-201,224 x 224,RR + HoleAlign,180,100.00 +/- 0.00,100.00 +/- 0.00,100.00 +/- 0.00,100.00 +/- 0.00
EfficientNet-B0,224 x 224,Original RR,180,93.78 +/- 2.02,94.44 +/- 1.54,93.78 +/- 2.02,93.71 +/- 2.08
EfficientNet-B0,224 x 224,RR + HoleAlign,180,98.56 +/- 0.63,98.60 +/- 0.60,98.56 +/- 0.63,98.55 +/- 0.64
MobileNet-V2,224 x 224,Original RR,180,86.56 +/- 2.56,89.26 +/- 1.51,86.56 +/- 2.56,86.55 +/- 2.53
MobileNet-V2,224 x 224,RR + HoleAlign,180,99.22 +/- 1.22,99.25 +/- 1.17,99.22 +/- 1.22,99.22 +/- 1.23
